Time mS,Rate,Total
0,0,0
1,0.0,0.000847
66917,0.0,0.000847
66952,0.024911764705882352,0.001694
67028,0.011144736842105263,0.002541
67029,0.0,0.003388
69739,0.0,0.003388
69741,0.0,0.004235
71494,0.0,0.004235
71626,0.006465648854961832,0.005082
71627,0.0,0.005929
74289,0.0,0.005929
74326,0.02352777777777778,0.006776
74350,0.035291666666666666,0.007623
74372,0.0385,0.00847
74391,0.04457894736842105,0.009317
74406,0.05646666666666667,0.010164
74421,0.05646666666666667,0.011011
74437,0.0529375,0.011858
74451,0.0605,0.012705
74466,0.05646666666666667,0.013552
74481,0.05646666666666667,0.014399
74496,0.05646666666666667,0.015246
74511,0.05646666666666667,0.016093
74528,0.049823529411764704,0.01694
74545,0.049823529411764704,0.017787
74562,0.049823529411764704,0.018634
74580,0.04705555555555556,0.019481
74597,0.049823529411764704,0.020328
74615,0.04705555555555556,0.021175
74634,0.04457894736842105,0.022022
74652,0.04705555555555556,0.022869
74670,0.04705555555555556,0.023716
74689,0.04457894736842105,0.024562999999999998
74706,0.049823529411764704,0.02541
74723,0.049823529411764704,0.026257
74742,0.04457894736842105,0.027104
74759,0.049823529411764704,0.027951
74777,0.04705555555555556,0.028798
74795,0.04705555555555556,0.029645
74812,0.049823529411764704,0.030492
74830,0.04705555555555556,0.031339
74847,0.049823529411764704,0.032186
74865,0.04705555555555556,0.033033
74883,0.04705555555555556,0.03388
74902,0.04457894736842105,0.034727
74920,0.04705555555555556,0.035574
74938,0.04705555555555556,0.036421
74957,0.04457894736842105,0.037268
74975,0.04705555555555556,0.038114999999999996
74993,0.04705555555555556,0.038962
75012,0.04457894736842105,0.039809
75030,0.04705555555555556,0.040656
75048,0.04705555555555556,0.041503
75067,0.04457894736842105,0.04235
75085,0.04705555555555556,0.043197
75103,0.04705555555555556,0.044044
75121,0.04705555555555556,0.044891
75139,0.04705555555555556,0.045738
75157,0.04705555555555556,0.046585
75176,0.04457894736842105,0.047432
75193,0.049823529411764704,0.048279
75211,0.04705555555555556,0.049125999999999996
75229,0.04705555555555556,0.049973
75247,0.04705555555555556,0.05082
75265,0.04705555555555556,0.051667
75283,0.04705555555555556,0.052514
75300,0.049823529411764704,0.053361
75318,0.04705555555555556,0.054208
75337,0.04457894736842105,0.055055
75354,0.049823529411764704,0.055902
75372,0.04705555555555556,0.056749
75390,0.04705555555555556,0.057596
75408,0.04705555555555556,0.058443
75426,0.04705555555555556,0.05929
75445,0.04457894736842105,0.060136999999999996
75463,0.04705555555555556,0.060984
75481,0.04705555555555556,0.061831
75499,0.04705555555555556,0.062678
75516,0.049823529411764704,0.063525
75535,0.04457894736842105,0.064372
75554,0.04457894736842105,0.065219
75571,0.049823529411764704,0.066066
75590,0.04457894736842105,0.066913
75608,0.04705555555555556,0.06776
75626,0.04705555555555556,0.068607
75644,0.04705555555555556,0.069454
75663,0.04457894736842105,0.070301
75680,0.049823529411764704,0.071148
75698,0.04705555555555556,0.071995
75717,0.04457894736842105,0.072842
75735,0.04705555555555556,0.073689
75752,0.049823529411764704,0.074536
75771,0.04457894736842105,0.075383
75789,0.04705555555555556,0.07622999999999999
75807,0.04705555555555556,0.07707699999999999
75825,0.04705555555555556,0.077924
75843,0.04705555555555556,0.078771
75860,0.049823529411764704,0.079618
75879,0.04457894736842105,0.080465
75897,0.04705555555555556,0.081312
75915,0.04705555555555556,0.082159
75933,0.04705555555555556,0.083006
75951,0.04705555555555556,0.083853
75970,0.04457894736842105,0.0847
75988,0.04705555555555556,0.085547
76006,0.04705555555555556,0.086394
76027,0.04033333333333333,0.087241
76054,0.03137037037037037,0.088088
76084,0.028233333333333336,0.088935
76121,0.02289189189189189,0.089782
76233,0.0075625,0.090629
76234,0.0,0.091476
164684,0.0,0.091476
164714,0.02920689655172414,0.092323
164740,0.03257692307692307,0.09317
164762,0.0385,0.094017
164782,0.04235,0.094864
164801,0.04457894736842105,0.095711
164819,0.04705555555555556,0.096558
164838,0.04457894736842105,0.097405
164856,0.04705555555555556,0.09825199999999999
164874,0.04705555555555556,0.09909899999999999
164894,0.04235,0.099946
164914,0.04235,0.100793
164934,0.04235,0.10164
164955,0.04033333333333333,0.102487
164977,0.0385,0.103334
164996,0.04457894736842105,0.104181
165017,0.04033333333333333,0.105028
165037,0.04235,0.105875
165055,0.04705555555555556,0.106722
165073,0.04705555555555556,0.107569
165092,0.04457894736842105,0.108416
165109,0.049823529411764704,0.109263
165127,0.04705555555555556,0.11011
165145,0.04705555555555556,0.110957
165162,0.049823529411764704,0.111804
165179,0.049823529411764704,0.112651
165197,0.04705555555555556,0.113498
165213,0.0529375,0.114345
165230,0.049823529411764704,0.115192
165248,0.04705555555555556,0.116039
165265,0.049823529411764704,0.116886
165282,0.049823529411764704,0.117733
165300,0.04705555555555556,0.11858
165316,0.0529375,0.11942699999999999
165333,0.049823529411764704,0.12027399999999999
165350,0.049823529411764704,0.12112099999999999
165367,0.049823529411764704,0.121968
165384,0.049823529411764704,0.122815
165402,0.04705555555555556,0.123662
165418,0.0529375,0.124509
165435,0.049823529411764704,0.125356
165453,0.04705555555555556,0.126203
165470,0.049823529411764704,0.12705
165487,0.049823529411764704,0.127897
165505,0.04705555555555556,0.128744
165522,0.049823529411764704,0.129591
165540,0.04705555555555556,0.130438
165558,0.04705555555555556,0.13128499999999999
165576,0.04705555555555556,0.132132
